id|externalid|parentid|status|name|geographiclevel|openmrs_id|type|coordinates
2c1c548f-452b-443f-9fa5-7d2858b1f003||4748ec18-d398-11e9-bb65-2a2ae2dbcce4|Pending Review||0||Point|[15.941623199999981, -17.73324469999998]
3171fb80-dabf-4a2c-be4e-9afc1d9fb5ed||1464a737-00ff-48c4-b030-9362d85614e1|Pending Review||0||Point|[15.82170229999997, -17.786912099999977]
3c94700b-baac-49bc-a82d-03739ff2f3b9||1464a737-00ff-48c4-b030-9362d85614e1|Pending Review||0||Point|[15.821873561405823, -17.787963562252973]
15b6a7f2-c81e-43ee-bf88-aa4aecbff05c||1464a737-00ff-48c4-b030-9362d85614e1|Pending Review||0||Point|[15.825862899999947, -17.7845756]
7730b79c-c8c5-4b30-b2c7-bc1ccc3dfce7||1464a737-00ff-48c4-b030-9362d85614e1|Pending Review||0||Point|[15.820915199999945, -17.787590399999978]
ba876c0f-3762-4d91-897e-2c114529b580||1464a737-00ff-48c4-b030-9362d85614e1|Pending Review||0||Point|[15.82369349999999, -17.790022399999977]
9f9988ee-c16a-4724-9909-4c0741ac0c2f||1464a737-00ff-48c4-b030-9362d85614e1|Pending Review||0||Point|[15.82562489999998, -17.7889498]
3eb035d2-9b42-46e9-9804-85bd98dd1e84||1464a737-00ff-48c4-b030-9362d85614e1|Pending Review||0||Point|[15.825592799999981, -17.78313440000003]
3115cc05-09af-4ffa-aae2-8225b8975f8a||1464a737-00ff-48c4-b030-9362d85614e1|Pending Review||0||Point|[15.821417600000018, -17.790879200000024]
daceea3a-2972-4db3-9f4e-e6dd793f08c6||1464a737-00ff-48c4-b030-9362d85614e1|Pending Review||0||Point|[15.819901100000038, -17.791723399999974]
713c58d2-5894-4892-b91f-217d518b7037||1464a737-00ff-48c4-b030-9362d85614e1|Pending Review||0||Point|[15.81926939999994, -17.78999399999999]
53027cf2-b057-4b3c-b8d5-2c7c0d7d29d1||1464a737-00ff-48c4-b030-9362d85614e1|Pending Review||0||Point|[15.816626600000063, -17.782024499999952]
faa8812b-85c9-4318-93ea-8a9800075b64||1464a737-00ff-48c4-b030-9362d85614e1|Pending Review||0||Point|[15.822153699999944, -17.789587200000003]
36d82ff8-f824-412b-a4c9-2def01fd8167||1464a737-00ff-48c4-b030-9362d85614e1|Pending Review||0||Point|[15.817572938718058, -17.784354610648336]
c48d39d8-f449-4cfe-bd40-b5adc1bf567a||1464a737-00ff-48c4-b030-9362d85614e1|Pending Review||0||Point|[15.816765799999985, -17.783538800000017]
37c91b02-199d-4907-9c8e-09a2325dac5c||1464a737-00ff-48c4-b030-9362d85614e1|Pending Review||0||Point|[15.81420950000006, -17.783488799999983]
15958b96-90cd-43d5-a8eb-c4a56ae5abfe||a4597ab8-8e84-4f6a-bd6c-1d3293a2da9a|Pending Review||0||Point|[15.880023170699957, -17.829907101400675]
8760a388-0cbc-424b-b5e3-95b0a936bb29||a54ac0de-6187-45f3-92df-e98a740cd6eb|Pending Review||0||Point|[15.752654841347294, -18.026059529175306]
58f0e382-cff9-42b1-a3a3-8d7b8a2cabc1||a54ac0de-6187-45f3-92df-e98a740cd6eb|Pending Review||0||Point|[15.75562588503135, -18.034892676323164]
02a37dfa-a799-4600-8e7e-772ce751ae67||a54ac0de-6187-45f3-92df-e98a740cd6eb|Pending Review||0||Point|[15.75562339999999, -18.034892100000015]
46e73e27-d6a2-48a7-929a-dc9ad4b1b317||a54ac0de-6187-45f3-92df-e98a740cd6eb|Pending Review||0||Point|[15.756811806161977, -18.025807306763795]
381b9e0b-f058-4136-8d32-6b41b0549570||a54ac0de-6187-45f3-92df-e98a740cd6eb|Pending Review||0||Point|[15.750768475839891, -18.038656935898672]
59795075-9b4e-437f-b903-cec2953c198f||a54ac0de-6187-45f3-92df-e98a740cd6eb|Pending Review||0||Point|[15.753799417833875, -18.020333470986238]
068709fb-79fa-4083-a689-2c606c10c3e6||a54ac0de-6187-45f3-92df-e98a740cd6eb|Pending Review||0||Point|[15.754821022523629, -18.015737220561963]
5e23e6ab-dcf6-47bf-8202-8f366d682170||a54ac0de-6187-45f3-92df-e98a740cd6eb|Pending Review||0||Point|[15.750329299999976, -18.018069800000006]
12a25012-c674-4f75-994d-e5c95e816d3d||a54ac0de-6187-45f3-92df-e98a740cd6eb|Pending Review||0||Point|[15.74767498427741, -18.010105353909616]
12f65e82-65a0-4787-aa6d-93d02aaf61c8||a54ac0de-6187-45f3-92df-e98a740cd6eb|Pending Review||0||Point|[15.751244100000008, -18.010619899999984]
e89a8a02-7942-44de-8dd9-e40c728b7bce||1464a737-00ff-48c4-b030-9362d85614e1|Pending Review||0||Point|[15.8221310104052, -17.784947329179083]
ece43336-d74b-4aaf-9d0a-adc732440898||1464a737-00ff-48c4-b030-9362d85614e1|Pending Review||0||Point|[15.820223800000008, -17.7838734]
81910d52-976c-4803-b81d-dd8ca51893c7||4748ec18-d398-11e9-bb65-2a2ae2dbcce4|Pending Review||0||Point|[15.837611103347626, -17.704351955182727]
